This file was created by CMPT_IND_RETS using the 201512 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

  Average Equal Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
194610,   1.59,  -2.69,  -2.01,  -0.90,  -2.40,  -4.51,  -4.45,  -2.37,   1.15,  -0.45
194611,  -2.12,  -0.60,   0.80,   1.44,  -1.38,  -2.88,  -1.96,   1.18,   0.72,  -0.55
194612,   4.06,   5.99,   6.51,   6.18,   7.82,   2.37,   3.03,   7.23,   6.11,   0.75
194701,   1.57,   9.99,   2.95,   1.27,   5.40,   3.80,   0.69,  -2.73,   0.76,   4.03
194702,   0.15,  -1.39,  -0.60,   0.18,  -2.21,  -6.09,   0.24,  -4.21,  -1.62,  -0.32
194703,  -3.36,  -3.86,  -2.72,   1.48,  -3.15,  -4.46,  -3.20,  -1.26,  -3.14,  -4.43
194704,  -8.69,  -9.63,  -8.17,  -2.43,  -8.04,  -6.61, -10.11,  -8.46,  -5.24,  -9.10
194705,  -3.18,  -6.15,  -4.40,  -1.93,  -2.94,  -2.86,  -2.65,  -5.38,  -2.56,  -4.22
194706,   6.11,   4.88,   5.10,   9.88,   6.06,   7.68,   8.98,   3.07,   3.39,   4.73
194707,   5.39,   8.45,   6.43,   7.10,   7.65,   2.23,   5.58,   3.97,   3.85,   6.78
194708,  -0.79,  -1.28,  -1.05,  -0.68,  -2.55,  -2.07,  -3.46,  -4.93,  -0.28,  -3.47
194709,   1.23,   1.67,   1.60,   1.50,   2.15,  -0.41,  -2.14,  -3.97,  -1.62,  -0.55
194710,   3.06,   6.18,   3.95,   6.78,   3.83,  -1.68,   3.60,   3.60,   1.06,   0.88
194711,  -2.76,  -3.74,  -2.66,  -0.39,  -1.70,  -8.28,  -3.45,  -2.87,  -7.76,  -2.90
194712,   0.12,   2.14,   2.10,  12.37,   1.32,  -1.61,  -1.11,   0.87,   0.02,   4.74
194801,  -2.63,  -4.16,  -2.54,  -4.14,  -3.32,   3.29,  -0.89,  -5.61,   0.92,   2.42
194802,  -6.59,  -7.73,  -6.30,  -4.65,  -6.23,  -4.21,  -5.52,  -4.78,  -3.37,  -5.66
194803,   6.17,  10.56,  11.16,  12.24,  12.37,   9.35,   6.54,   6.51,   7.03,  10.87
194804,   2.48,   1.80,   2.69,  13.77,   2.43,   3.40,   5.57,   1.52,   2.51,   4.85
194805,   7.45,  13.99,   8.67,   7.70,  12.34,   6.66,   9.25,   7.24,   7.12,   8.43
194806,  -2.47,  -1.77,  -2.21,   2.39,  -0.54,   1.38,  -2.04,  -1.03,   2.31,  -1.42
194807,  -2.85,  -6.67,  -5.60,  -7.76,  -6.35,  -8.35,  -6.31,  -4.64,  -3.13,  -5.46
194808,  -0.03,  -0.55,  -0.11,  -1.65,   0.11,  -2.15,   0.27,  -1.91,  -0.36,   0.04
194809,  -4.21,  -4.99,  -3.93,  -6.40,  -4.17,  -5.59,  -3.50,  -3.42,  -1.91,  -5.24
194810,   3.00,   7.25,   5.82,   7.73,   5.55,   4.42,   3.70,   5.13,   4.94,   6.03
194811,  -8.64, -14.26, -11.12, -13.32, -10.32, -10.36,  -8.36,  -7.32,  -9.74, -11.58
194812,  -0.89,  -1.21,   1.26,   5.79,   6.54,  -0.50,  -0.11,   2.68,   3.03,   1.54
194901,   4.07,   1.15,   1.33,  -3.88,  -2.27,   4.51,   3.26,   4.85,   4.51,   2.02
194902,  -3.70,  -6.35,  -4.13,  -5.41,  -6.86,  -6.76,  -3.29,  -2.45,   0.45,  -4.21
194903,   5.32,   7.32,   5.93,   6.54,   4.87,   6.64,   5.56,   6.21,   5.44,   6.47
194904,  -2.43,  -6.82,  -4.79,  -1.56,  -5.28,  -7.73,  -0.91,   0.26,   0.75,  -1.75
194905,  -2.23,  -6.52,  -5.27,  -5.93,  -6.38,  -4.46,  -0.98,  -2.68,  -0.57,  -5.52
194906,   0.45,  -0.93,  -1.64,  -0.41,  -3.55,   3.46,   2.55,   1.04,  -0.89,  -1.66
194907,   5.94,   9.38,   6.77,   6.12,   7.73,   3.87,   3.86,   5.39,   5.22,   5.72
194908,   2.59,   2.13,   2.21,   6.26,   1.57,   1.35,   2.31,   0.81,   4.37,   1.96
194909,   3.08,   6.08,   4.08,   4.34,   4.99,  15.09,   4.45,   3.50,   4.52,   4.54
194910,   3.40,   6.96,   4.40,   3.72,   4.38,   6.21,   1.55,   3.45,   0.89,   4.72
194911,   0.93,   2.89,   1.17,  -1.21,   1.05,  -1.73,   0.29,   2.58,   3.71,  -0.24
194912,   6.80,   9.42,   7.29,   1.56,   9.35,  13.93,   5.89,   8.13,   4.06,   8.53
195001,   4.60,   4.76,   3.10,   1.76,   9.71,   1.51,   3.01,   2.16,   3.97,   4.98
195002,  -0.68,   2.96,   2.51,  -0.84,   4.31,   0.88,   0.92,   3.93,   3.00,   1.52
195003,  -0.55,   1.67,  -1.17,   3.43,   3.19,   6.48,  -1.58,  -2.92,   0.95,  -0.55
195004,   1.82,  10.33,   6.19,   4.09,   8.77,  19.07,   2.75,   5.63,   0.21,   3.94
195005,   3.24,   3.74,   4.33,   9.24,  -0.05,  -2.72,   2.53,   1.45,   1.25,   1.78
195006,  -6.73,  -9.71,  -7.66,  -7.00,  -9.47,  -9.47,  -4.91,  -6.37,  -7.69,  -8.19
195007,   6.35,   1.66,   6.79,  10.70,  -0.64,  -2.26,   1.89,  -3.18,  -4.75,   8.69
195008,   4.19,   7.72,   5.74,   5.72,   6.82,   7.90,   4.41,   4.05,   4.03,   3.25
195009,   4.52,   6.17,   5.75,   2.41,   7.40,   4.54,   6.69,   5.85,   4.23,   6.01
195010,  -0.17,  -2.21,   0.31,   0.04,  -3.41,  -2.02,  -1.26,   0.55,  -1.00,  -0.25
195011,   0.93,  -0.56,   5.50,   5.48,   1.74,  -1.29,   0.81,   3.28,  -0.89,   5.52
195012,   6.80,  10.05,   8.74,  10.35,   5.25,   2.26,   4.73,   6.30,   3.86,  13.95
195101,   6.77,   9.26,   8.48,   6.28,   9.77,   4.31,   7.68,   4.05,   6.17,   6.91
195102,   1.32,   1.49,   0.84,   0.05,   2.89,   4.47,   1.71,   2.16,   2.72,   0.49
195103,  -3.96,  -3.02,  -3.79,  -3.31,  -3.39,  -1.93,  -3.82,  -0.04,  -0.67,  -3.68
195104,   2.10,   4.01,   6.47,   8.62,   4.79,   2.81,  -0.01,   8.90,   0.95,   2.44
195105,  -1.31,  -3.80,  -2.79,  -3.65,  -2.71,  -5.98,  -1.93,  -0.23,   0.74,  -3.88
195106,  -4.57,  -7.66,  -5.53,  -1.25,  -3.85,  -5.38,  -3.30,  -1.45,  -0.88,  -5.40
195107,   2.63,   4.31,   8.78,   9.41,   4.91,   7.40,   2.68,  10.80,   5.02,   6.86
195108,   3.16,   6.51,   5.74,   5.44,   6.18,   6.56,   4.21,  -0.63,   2.89,   4.56
195109,   0.41,   2.40,   2.70,   2.27,   2.91,   0.57,   2.29,   0.02,   1.12,   4.09
195110,  -2.19,  -2.86,  -2.55,  -0.85,  -3.63,  -6.55,  -3.48,  -3.58,   0.96,  -3.22
195111,  -0.70,   1.56,   0.14,  -0.24,   2.53,   4.73,   1.00,  -1.33,   2.02,   2.04
195112,   0.54,   1.72,   2.12,   1.71,   2.93,   0.58,  -0.59,   3.19,   2.89,   1.00
195201,   0.40,   0.30,   1.59,   6.77,   0.73,   2.00,   0.48,   2.52,   3.21,   2.10
195202,  -1.54,  -1.61,  -3.16,  -2.21,  -1.50,  -1.36,  -1.84,  -3.56,  -0.23,  -1.69
195203,   1.69,   3.50,   2.70,   6.11,   3.51,   0.09,   1.58,   0.21,   1.69,   4.47
195204,  -3.55,  -4.42,  -6.04,  -7.58,  -2.94,  -3.59,  -2.54,  -4.83,  -1.72,  -3.91
195205,   1.93,   2.51,   2.31,   3.19,   1.13,   0.44,   2.65,   1.06,   3.23,   2.63
195206,   1.89,   2.09,   3.48,   4.35,   4.08,   2.18,   3.05,   0.95,   1.67,   4.14
195207,   0.10,   1.10,   1.80,  -0.97,   1.65,   3.11,   1.25,  -2.22,   1.87,   0.74
195208,   0.86,   1.25,  -0.69,  -2.29,   0.56,   0.64,  -0.24,  -0.01,   2.20,  -0.07
195209,  -2.32,  -0.09,  -2.30,  -4.06,   1.67,   2.28,  -1.07,  -2.25,   0.66,  -1.20
195210,  -1.87,  -0.59,  -1.50,   0.02,  -0.50,   0.00,  -0.99,  -1.48,  -0.22,  -1.16
195211,   4.92,   5.79,   6.65,   2.42,   6.64,   5.77,   3.64,   5.39,   5.01,   6.19
195212,   2.20,   1.78,   1.90,   4.82,   2.91,   0.76,   0.73,  -0.26,   1.86,   3.60
195301,   2.83,   4.48,   2.95,  -1.42,   1.68,   6.22,   2.17,  -2.37,   1.06,   3.11
195302,   2.69,   1.65,   1.02,   0.36,   0.72,   4.57,   0.79,   2.07,   1.07,   0.60
195303,  -1.00,  -2.67,  -1.90,   2.58,  -2.38,  -1.32,   0.03,  -0.02,   0.56,  -1.47
195304,  -0.84,  -3.31,  -2.57,  -3.62,  -2.48,   4.63,  -1.59,  -2.47,  -3.14,  -2.70
195305,   0.73,  -0.60,   0.54,   1.44,  -0.20,   0.51,   0.88,   0.65,  -0.33,   1.46
195306,  -3.04,  -5.27,  -3.54,  -1.48,  -2.98,   1.78,  -3.04,  -3.13,  -2.85,  -3.04
195307,   1.78,   0.39,   1.58,   1.79,   1.48,   3.23,   1.89,   2.58,   3.22,   1.62
195308,  -4.23,  -6.42,  -5.87,  -7.58,  -6.57,  -2.46,  -2.71,  -1.86,  -0.21,  -7.07
195309,  -1.56,  -2.64,  -0.70,  -3.25,   2.26,   2.11,  -1.32,  -0.38,   1.27,  -2.45
195310,   1.37,   6.61,   4.99,   4.23,   3.97,   2.72,   0.77,   2.70,   4.68,   3.26
195311,   0.55,   1.94,   2.77,   2.12,   1.03,   3.52,   0.63,   6.31,   2.91,   2.75
195312,  -1.82,  -3.10,  -1.32,  -1.58,  -0.67,  -2.33,  -2.05,   0.05,   0.84,  -2.26
195401,   6.57,   6.79,   7.95,  10.12,   7.30,   3.75,   6.72,   5.92,   3.51,   7.46
195402,   0.70,   0.26,   1.53,   1.97,   1.88,   3.37,   0.16,   1.34,   2.13,   1.73
195403,   1.11,   1.33,   4.39,   2.84,   4.01,   1.65,   1.31,   0.15,   2.78,   2.86
195404,  -0.97,  -0.80,   2.95,   3.33,   3.54,   2.03,   0.03,   2.18,   1.16,   2.24
195405,   4.74,   4.57,   4.73,   3.99,   2.52,   3.61,   2.48,   2.33,   2.63,   5.43
195406,   1.30,   0.85,   1.62,  -2.79,   3.78,   0.83,   1.63,  -0.31,   1.35,   1.35
195407,   7.69,   5.72,   7.69,   2.81,   7.72,   9.03,   8.77,   7.08,   5.85,   7.67
195408,  -1.35,  -1.34,  -1.36,   0.57,  -3.21,   0.67,   0.33,  -1.74,  -1.35,   0.22
195409,   3.10,   5.02,   4.84,   6.89,   6.10,   4.61,   4.27,   5.43,   1.90,   4.28
195410,  -0.62,  -1.12,  -0.23,  -1.46,  -0.26,   1.61,  -2.33,   0.28,  -3.51,   0.88
195411,   6.42,   6.41,  11.08,   9.44,  12.28,   9.19,   6.64,  12.04,   5.01,  10.55
195412,   6.98,   8.98,   9.50,   9.49,   8.00,  13.85,   7.04,   8.00,   3.88,  12.77
195501,   1.75,   2.12,   1.18,  -0.08,   1.87,   3.36,   1.40,  -2.24,   1.51,   1.94
195502,   2.42,   5.35,   5.32,   3.57,   6.58,   2.54,   2.48,   3.80,   3.84,   4.41
195503,  -0.29,  -0.07,   0.13,   0.84,   0.22,   2.75,  -1.57,   4.59,  -0.89,   0.92
195504,   2.20,   3.98,   1.74,   0.57,   2.55,   5.49,   2.45,   4.12,   2.58,   3.23
195505,  -0.52,   0.35,   0.59,   0.60,   0.94,   1.30,   1.63,   1.05,  -0.06,   2.09
195506,   1.91,   2.12,   5.28,   7.09,   3.35,  -2.27,   3.83,   1.47,   1.66,   2.19
195507,   1.92,   3.07,   0.17,  -0.58,  -2.76,   4.31,   1.98,   1.02,   3.31,  -0.94
195508,  -1.19,  -0.24,   1.91,   1.50,  -0.23,  -3.97,  -0.03,  -0.25,   0.06,   0.47
195509,  -0.94,   1.91,  -0.27,  -1.42,  -2.92,  -2.61,   0.25,  -1.15,  -2.19,  -1.59
195510,  -0.52,  -3.21,  -1.64,  -1.60,  -3.14,  -4.52,  -1.54,   0.94,  -1.20,  -2.44
195511,   2.06,   5.24,   7.38,   9.41,   6.48,   3.76,   2.25,   6.97,   3.07,   6.44
195512,   1.56,   0.70,   3.05,   4.40,   3.64,   1.25,   2.21,   7.30,   0.26,   1.27
195601,   0.13,  -3.76,  -3.37,   1.95,  -3.32,   0.88,  -1.71,  -4.49,  -0.30,  -2.84
195602,   1.28,   4.62,   4.46,   5.47,   4.70,  -0.61,   0.91,   4.05,   1.88,   3.68
195603,   2.13,   3.54,   7.21,   8.76,   7.20,   5.67,   2.26,   7.09,   3.36,   4.52
195604,  -0.10,  -1.55,   1.15,   1.23,   0.73,  -1.03,  -0.42,   1.28,  -1.45,   1.23
195605,  -3.43,  -5.66,  -4.88,  -2.95,  -5.92,  -3.82,  -2.53,  -3.51,  -0.55,  -4.66
195606,   0.43,   2.51,   3.02,   3.55,   2.64,   2.59,   1.46,   2.26,   2.25,   1.29
195607,   1.41,   3.08,   5.88,   5.37,   3.80,   3.68,   1.71,   4.34,   4.83,   2.75
195608,  -0.51,  -0.13,  -1.75,  -3.78,  -1.95,  -1.43,  -1.49,  -3.27,  -1.69,  -3.01
195609,  -2.66,  -2.96,  -4.12,  -5.06,  -3.75,  -5.05,  -2.96,  -3.02,  -3.58,  -3.23
195610,   1.38,   0.53,   0.78,   0.97,   0.22,  -4.07,   1.17,   0.66,   1.04,   0.06
195611,   0.69,  -0.83,   0.59,   9.16,  -0.44,  -1.10,  -0.73,  -0.92,   0.20,  -0.62
195612,   0.52,  -0.55,   4.28,   0.08,   4.50,   1.55,  -0.58,   6.22,   1.63,   2.43
195701,   3.01,   1.38,  -1.84,  -3.05,  -0.05,   3.23,   1.85,  -1.17,   2.78,   0.85
195702,  -1.60,  -2.59,  -2.88,  -3.44,  -2.72,  -1.67,  -1.12,   0.14,   0.09,  -3.31
195703,   0.97,   2.91,   2.05,   1.81,   4.35,   1.90,   2.32,   6.87,   2.21,   2.50
195704,   2.07,   2.86,   1.98,   5.44,   4.85,   4.12,   1.74,   4.60,   2.26,   2.87
195705,   0.74,   1.59,   1.82,   7.22,   4.50,   0.65,   2.18,   4.50,   1.91,   1.78
195706,  -0.31,  -0.44,  -0.40,  -4.09,   1.71,  -2.49,   0.66,   4.11,  -4.76,  -0.44
195707,   0.18,   0.64,   0.37,  -0.27,   0.32,  -1.16,   1.30,   2.11,   0.55,   1.17
195708,  -3.22,  -4.36,  -6.19,  -6.40,  -7.43,  -4.22,  -2.36,  -2.37,  -2.33,  -5.70
195709,  -3.04,  -5.33,  -7.17,  -7.14,  -6.27,  -3.51,  -2.15,  -1.54,  -2.15,  -6.60
195710,  -5.13,  -7.71,  -6.99,  -8.80,  -8.59,  -7.38,  -5.53,  -1.60,  -1.06,  -8.80
195711,   2.27,  -1.04,   2.05,   4.66,   5.96,  -0.11,   1.49,   7.41,   4.27,  -0.63
195712,  -2.10,  -7.83,  -6.90,  -9.77,  -7.07,  -3.71,  -3.10,  -0.60,   2.96,  -5.48
195801,  11.54,  11.93,  11.56,   6.96,  10.11,  15.43,   8.45,   2.36,   6.73,  13.15
195802,   0.71,  -3.42,  -2.19,  -5.17,  -2.26,  -2.92,   1.08,   4.28,   1.34,  -1.07
195803,   3.97,   2.51,   3.35,   8.10,   5.08,   3.97,   3.60,  10.34,   2.07,   2.08
195804,   4.73,   2.76,   1.37,   2.86,   1.11,   8.16,   3.31,   8.46,   5.09,   4.01
195805,   3.51,   4.47,   4.52,   4.49,   5.85,   3.63,   3.36,   2.43,   1.90,   3.61
195806,   2.40,   4.25,   2.43,   5.59,   3.82,   5.70,   3.31,   2.72,   2.50,   4.61
195807,   3.28,   7.03,   8.29,   4.65,   4.21,   2.27,   3.14,   4.17,   1.08,   5.55
195808,   4.66,   6.51,   2.68,   1.58,   4.68,   5.95,   4.83,   3.29,  -0.91,   2.31
195809,   5.29,   7.80,   5.23,   2.55,   5.28,   4.47,   5.64,  11.10,   2.58,   6.03
195810,   2.42,   4.93,   3.01,   0.43,   7.04,   0.45,   2.33,   1.31,   4.17,   3.85
195811,   3.29,   5.89,   3.16,   2.15,  10.40,   9.85,   5.93,   8.59,   3.19,   4.44
195812,   3.92,   4.18,   4.24,   2.13,   5.35,   3.12,   2.58,   4.95,   5.24,   2.81
195901,   4.99,   5.61,   4.55,   3.93,   2.30,   5.16,   5.51,  -0.09,   2.58,   4.05
195902,   3.08,   4.39,   3.11,  -4.42,   8.66,  10.07,   4.24,   4.86,   0.98,   1.47
195903,   1.37,   3.42,   0.55,   2.90,   3.17,   2.46,   0.30,   4.51,   1.31,   0.08
195904,   1.47,   6.44,   2.90,   0.97,   9.98,   5.33,   1.21,  11.06,  -0.60,   1.24
195905,  -0.07,   3.00,   1.96,  -1.06,   0.99,  -3.29,   0.46,  -2.46,  -1.29,   0.92
195906,   1.04,  -0.29,   1.45,  -2.12,   1.07,   1.43,   0.72,   6.27,  -2.29,  -0.26
195907,   4.41,   2.61,   2.85,   5.17,   1.83,   4.26,   3.98,   3.79,   4.07,   0.85
195908,  -0.56,  -0.18,  -2.34,  -3.38,  -4.69,   0.96,   0.44,   0.02,   1.79,  -2.05
195909,  -2.06,  -4.60,  -5.07,  -8.05,  -5.90,  -5.77,  -3.70,  -6.10,  -4.32,  -4.07
195910,   1.32,   5.17,   1.57,   2.28,   7.19,   5.74,   1.25,   5.48,   1.30,   1.22
195911,  -0.17,   1.92,   2.54,  -0.30,   5.81,   0.13,   2.28,   4.80,   0.64,  -0.48
195912,   2.02,   4.19,   2.11,   2.02,   3.73,   5.68,   2.72,  -0.91,   1.40,   1.98
196001,  -2.42,  -4.65,  -4.79,  -4.73,  -8.19,  -4.72,  -3.27,  -4.71,  -1.63,  -2.60
196002,   1.48,  -0.40,   0.28,  -3.05,   5.89,   2.64,   1.12,   1.20,   2.03,  -0.01
196003,  -2.88,  -5.94,  -3.43,  -1.32,  -2.49,  -1.29,  -1.52,   0.15,   1.94,  -2.70
196004,  -0.68,  -3.75,  -3.54,  -3.93,  -2.40,  -1.82,   0.40,   1.17,   1.61,  -2.42
196005,   2.12,  -0.23,   2.15,  -2.67,  12.01,   5.79,   1.58,  11.25,   1.74,   0.06
196006,   4.52,   0.21,   0.76,   2.64,   1.67,  -0.24,   2.99,   3.33,   4.61,   1.93
196007,  -0.70,  -2.37,  -2.58,   0.81,  -6.28,  -1.83,  -1.60,  -4.15,   0.46,  -1.68
196008,   4.17,   4.10,   2.85,   5.29,   3.20,  23.67,   3.15,   1.92,   4.78,   4.11
196009,  -4.97,  -5.34,  -7.18,  -1.52, -10.65,  -6.61,  -4.75,  -8.55,  -4.00,  -5.73
196010,  -0.51,  -4.38,  -3.22,   3.31,  -6.63,  -5.06,  -1.27,  -4.32,  -0.97,  -2.12
196011,   5.83,   0.60,   4.02,   5.97,   6.68,   3.73,   5.92,   4.21,   3.62,   5.35
196012,   3.61,   1.65,   4.26,   5.56,   3.33,   5.74,   2.27,   6.04,   5.54,   2.64
196101,   7.88,   9.37,   8.85,  10.88,   5.06,   2.54,   7.21,   8.13,   5.71,   9.51
196102,   6.40,   5.96,   6.65,   3.06,   7.70,   7.31,   7.18,   6.55,   4.24,   5.56
196103,   4.98,   6.13,   4.66,   2.56,   6.77,   2.95,   8.77,   6.50,   2.19,   4.61
196104,  -0.41,   0.27,  -0.09,   2.42,   1.97,   4.33,   2.58,  -2.72,   2.35,   1.34
196105,   4.90,   6.75,   5.22,   3.52,   3.66,   0.17,   1.20,   1.57,   2.45,   4.99
196106,  -2.95,  -5.37,  -4.99,  -2.76,  -5.47,  -7.45,  -2.34,  -3.27,  -2.60,  -4.47
196107,   0.82,   2.54,   1.62,  -0.67,   0.35,   4.84,   0.37,   1.80,   2.19,   0.33
196108,   3.17,   0.98,   1.10,   0.35,  -0.70,   1.93,   3.49,   4.24,   4.04,   3.33
196109,  -1.57,  -1.92,  -4.20,  -4.53,  -6.19,  -4.09,  -1.34,  -2.54,   1.51,  -3.24
196110,   3.30,   0.41,   0.13,   6.93,  -0.76,   3.93,   4.86,   3.77,   5.24,   2.18
196111,   6.34,   5.97,   3.27,   6.09,   6.88,  -0.31,   6.71,   3.06,   3.74,   4.70
196112,  -1.21,   1.18,   0.89,   2.05,  -0.46,   2.57,  -0.87,  -2.61,  -3.28,  -1.57
196201,  -2.26,   3.19,   0.04,   0.38,  -2.80,  -1.13,  -2.89,  -3.49,  -2.59,   1.00
196202,   1.29,   2.47,   1.50,   5.02,  -0.09,   3.35,  -0.06,   2.10,   2.08,   1.64
196203,  -0.71,   1.03,  -0.85,  -2.26,  -1.32,  -3.25,  -0.82,   0.33,   2.44,  -1.66
196204,  -7.21,  -7.12,  -7.48,  -4.26,  -9.63,  -6.74,  -6.84,  -9.69,  -2.10,  -6.73
196205,  -9.59,  -9.23,  -9.23,  -8.15, -13.32,  -9.41,  -9.27, -12.47, -10.31,  -9.51
196206,  -7.73,  -8.36,  -9.02,  -5.47, -11.39,  -8.80,  -9.03, -11.78,  -5.02,  -8.74
196207,   6.04,   8.03,   5.61,   5.20,   9.84,   6.76,   5.55,   5.77,   6.82,   7.20
196208,   2.59,   5.33,   2.26,   2.72,   4.41,   5.92,   1.51,  -3.78,   3.14,   4.13
196209,  -6.20,  -6.81,  -6.18,  -4.27,  -9.71,  -8.27,  -6.53,  -5.56,  -2.17,  -6.29
196210,  -2.74,  -2.87,  -1.47,  -2.29,  -4.52,  -0.56,  -3.82,   0.73,  -1.55,  -2.09
196211,  11.37,  13.34,  14.74,  12.94,  17.26,  13.92,  11.25,  19.63,   7.41,  17.33
196212,   0.53,  -0.18,  -2.33,   1.15,  -2.93,  -0.78,  -2.48,  -0.25,   3.37,  -0.66
196301,   8.10,   9.73,   8.53,   6.21,   7.21,  11.92,   7.49,   7.00,   5.57,   8.24
196302,  -1.66,  -1.22,  -1.10,  -1.82,  -4.25,  -2.09,  -2.02,  -2.11,  -0.62,  -0.43
196303,   1.55,   3.05,   2.51,   5.38,  -0.89,   4.24,   0.74,   1.27,   1.66,   2.80
196304,   3.03,   4.46,   3.63,   5.06,   3.62,   5.63,   4.43,   7.47,   2.39,   4.46
196305,   3.07,   4.73,   3.76,   2.29,   4.12,   0.88,   0.19,  -0.16,   1.56,   5.32
196306,  -1.35,  -0.77,  -1.93,  -0.18,  -1.67,  -2.87,  -2.35,  -1.79,  -0.99,  -1.59
196307,  -0.78,  -0.08,  -1.37,   3.39,  -2.47,  -1.80,  -0.03,   0.60,   0.72,  -1.08
196308,   3.56,   4.18,   4.13,   7.32,   2.91,   7.57,   3.52,   7.28,   3.93,   4.36
196309,  -0.75,  -2.69,  -1.22,   0.46,   0.37,  -2.94,  -1.07,  -1.33,  -1.87,  -1.50
196310,   2.39,   2.54,   0.88,  -0.86,   4.43,   4.89,   0.69,   3.80,  -0.78,   0.94
196311,  -2.01,  -2.11,  -0.98,   0.87,  -3.00,   0.14,  -3.22,  -1.55,  -0.97,  -1.97
196312,  -0.31,  -2.19,  -0.44,   1.57,  -3.52,  -1.33,  -2.06,  -0.45,   1.78,   0.67
196401,   3.27,   4.35,   3.95,   4.59,   2.30,   2.46,   2.69,   3.66,   1.36,   2.91
196402,   1.90,   2.07,   2.77,   1.19,   0.92,   3.11,   2.25,   0.97,   1.01,   5.14
196403,   1.21,   1.17,   4.83,   0.59,   2.04,   3.78,   2.63,  -1.40,  -0.39,   3.45
196404,   0.76,   1.88,  -0.89,   4.37,  -1.96,   0.35,   1.01,  -1.47,   0.75,  -0.21
196405,   0.51,  -0.95,   1.02,   2.60,  -1.81,   4.52,   0.38,   0.00,   1.56,   0.98
196406,   2.07,   0.38,   1.02,   1.46,   0.49,   1.01,   2.67,  -0.27,   1.40,  -0.42
196407,   2.56,   3.35,   3.18,   4.16,   1.62,   1.17,   3.01,   4.83,   4.36,   2.41
196408,  -0.20,  -1.47,  -0.43,   0.63,  -1.83,  -0.89,   0.06,  -2.43,   0.49,  -1.34
196409,   2.93,   4.14,   3.69,   1.66,   4.61,   3.06,   4.13,   5.24,   1.81,   5.44
196410,   1.68,   2.39,   1.85,   1.95,   0.83,   3.15,   2.56,   2.29,   0.81,   2.58
196411,   0.13,  -0.56,  -0.46,  -0.37,  -1.90,   1.01,   2.22,   2.05,   1.80,  -0.74
196412,  -0.99,  -1.91,  -1.79,  -1.29,  -0.72,   0.16,  -2.13,   3.48,   0.43,  -1.64
196501,   7.82,   7.24,   7.48,   6.99,  10.62,   3.81,   8.62,   7.71,   3.81,   6.08
196502,   4.22,   2.76,   3.77,   1.08,   2.98,   6.33,   3.12,   2.05,   1.33,   3.90
196503,   0.67,   3.77,   1.63,   1.51,   1.94,   0.90,   1.96,   0.68,  -0.71,   1.03
196504,   3.49,   5.92,   4.73,   6.00,   6.07,   2.88,   4.20,   2.98,   0.44,   2.77
196505,   0.02,   1.99,  -0.74,  -2.29,  -0.04,   1.66,   0.27,  -1.48,  -1.24,  -1.64
196506,  -7.50,  -8.68,  -8.70,  -7.63, -10.71,  -8.50,  -9.37,  -6.35,  -4.05,  -8.03
196507,   2.18,   2.72,   3.46,   2.26,   5.21,   2.76,   1.44,   4.36,   1.24,   3.06
196508,   3.62,   4.12,   4.06,   1.58,   9.11,   6.13,   3.53,   6.66,   1.76,   4.35
196509,   0.05,   6.77,   3.40,   1.91,   5.80,   3.62,   2.32,   3.21,   0.79,   1.87
196510,   4.06,  10.31,   6.60,   6.98,   9.49,   2.11,   4.19,   4.25,   1.08,   5.83
196511,   1.92,   7.26,   5.07,   3.57,  14.42,   5.08,   2.82,   4.46,  -0.73,   5.11
196512,   3.88,   2.56,   4.90,   4.06,   2.65,   7.75,   3.85,   4.91,  -0.23,   6.42
196601,   6.28,   9.85,   7.03,   8.83,   7.04,  -0.04,   4.81,   4.41,  -2.17,   7.58
196602,   2.02,   6.80,   3.26,   3.39,   7.38,   0.03,   2.08,  -0.27,  -3.53,   3.37
196603,  -2.33,   0.30,  -1.04,   0.20,  -1.50,  -3.34,  -1.32,  -1.56,  -0.68,   0.50
196604,   1.61,   5.84,   5.49,   4.30,  11.60,   3.05,   4.17,   4.70,   0.21,   4.30
196605,  -7.80, -11.52,  -9.23,  -6.59, -14.21,  -5.98,  -7.48,  -7.02,  -2.69,  -9.26
196606,  -0.93,  -1.18,  -0.61,  -0.72,   2.46,  -0.45,  -0.63,   1.95,  -1.95,  -0.90
196607,  -1.61,  -1.98,  -1.62,  -0.82,  -2.22,  -1.87,  -1.97,  -1.44,  -0.19,  -1.77
196608, -10.64, -10.37,  -9.85, -10.00,  -8.68,  -9.91,  -9.30,  -9.49,  -7.76, -11.85
196609,  -1.80,  -3.50,  -2.40,   0.59,  -3.99,  -1.92,  -1.42,  -1.84,   3.49,  -2.27
196610,  -1.18,  -4.23,  -0.72,   0.80,  -9.07,   5.34,  -3.17,   2.16,   8.67,  -2.52
196611,   1.12,   1.18,   3.39,   5.74,  12.83,   8.07,   1.75,   7.52,  -1.86,   7.27
196612,  -1.08,   0.50,   2.78,   1.64,   4.39,   7.12,   0.73,   1.94,   1.79,   0.67
196701,  16.74,  22.03,  18.50,  11.25,  24.20,  13.85,  15.36,  10.14,   4.72,  20.06
